time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
955100,2025-09-08 23:52:42,39.393279286997,-76.9727209805111,0,Available with any HD 360 subscription,Available with any HD 360 subscription,591.6810412435,2.952756,0,0,0,22,5,0,591.6810412435,0,0,0,0,0,0,95, 4.9, 0,0,0,364,364,364,1684,-100,-100,-100,100,111.8,0,0,39,3.614,3.612,3.609,3.604,0,0,0,113.54,591.6810412435,0,6,P-GPS,"SD card speed low SD card speed low. Normal use may be affected. Replace SD card (Code: 10028). Aircraft not in flight. Vision systems and obstacle avoidance disabled (Code: 180059). Remote ID functionality normal (Code: 30331)"
955200,2025-09-08 23:52:42,39.3932788654608,-76.972720808354,0,,,591.6810412435,2.952756,0,0.161275595712,0.161275595712,22,5,0,591.6810412435,0,0,0.161275595712,0,0,0,95, 4.9, 0,0,0,364,364,364,1684,-100,-100,-100,100,111.9,0,0,39,3.614,3.612,3.609,3.604,0,0,0,113.54,591.6810412435,0,41,Motors_Started,
955300,2025-09-08 23:52:42,39.39327885563,-76.9727208042523,0,,,591.6810412435,2.952756,0,0.16504429662,0.16504429662,22,5,0,591.6810412435,0,0,0.16504429662,0,0,0,95, 4.9, 0,0,0,364,364,364,1684,-100,-100,-100,100,111.9,0,0,39,3.614,3.612,3.609,3.604,0,0,0,113.54,591.6810412435,0,41,Motors_Started,
955400,2025-09-08 23:52:43,39.3932788518004,-76.9727208168347,0,,,591.6810412435,2.952756,0,0.165352039412,0.168857288868,22,5,0,591.6810412435,0,0,0.165352039412,0,0,0,95.1, 4.9, 0,0,0,364,364,364,1684,-100,-100,-100,100,111.8,0,0,39,3.614,3.612,3.609,3.604,0,0,0,113.54,591.6810412435,0,41,Motors_Started,
955500,2025-09-08 23:52:43,39.3932788338736,-76.9727208056547,0,,,591.6810412435,0.328084,0,0.172516737804,0.176117787788,22,5,0,591.6810412435,0,0,0.172516737804,0,0,0,95, 4.9, 0,0,0,364,364,364,1684,-100,-100,-100,100,111.7,0,0,39,3.614,3.612,3.609,3.604,0,0,0,113.54,591.6810412435,0,41,Motors_Started,
955600,2025-09-08 23:52:43,39.3932787859401,-76.9727208313516,0,,,591.6810412435,0.328084,0,0.187585635924,0.195047906504,22,5,0,591.6810412435,0,0,0.187585635924,0,0,0,95.1, 4.9, 0,0,0,1011,749,1024,1119,-2,-42,0,14,111.7,0,0,39,3.614,3.612,3.609,3.604,0,0,0,113.54,591.6810412435,0,41,Motors_Started,
955700,2025-09-08 23:52:43,39.3932787450746,-76.9727208277126,0,,,591.6810412435,0.328084,0,0.202359586528,0.209992788872,22,5,0,591.6810412435,0,0,0.202359586528,0,0,0,95.1, 4.9, 0,0,0,1024,1024,1024,1024,0,0,0,0,111.6,0,0,39,3.614,3.612,3.609,3.604,0,0,0,113.54,591.6810412435,0,41,Motors_Started,
955800,2025-09-08 23:52:43,39.3932788187182,-76.9727207140776,0,,,591.6810412435,0.328084,0,0.186637801248,0.251808078924,22,5,0,591.6810412435,0,0,0.202359586528,0,0,0,95.1, 4.9, 0,0,0,1024,1024,1024,1024,0,0,0,0,111.5,0,0,39,3.614,3.612,3.609,3.604,0,0,0,113.54,591.6810412435,0,41,Motors_Started,
955900,2025-09-08 23:52:43,39.393278779549,-76.9727206970387,0,,,591.6810412435,0.328084,0,0.201658142936,0.26688485106,22,5,0,591.6810412435,0,0,0.202359586528,0,0,0,95.1, 4.9, 0,0,0,1024,1024,1024,1024,0,0,0,0,111.4,0,0,39,3.614,3.612,3.609,3.604,0,0,0,113.54,591.6810412435,0,41,Motors_Started,
956000,2025-09-08 23:52:43,39.3932787653703,-76.9727207247754,0,,,591.6810412435,0.328084,0,0.203517394964,0.27626149178,22,5,14.419,591.6810412435,0,0,0.203517394964,0,0,0,95.1, 4.9, 0,0,0,1024,1024,1024,1024,0,0,0,0,111.4,0,0,39,3.614,3.612,3.609,3.604,0,0,2.952,113.54,591.6810412435,0,41,Motors_Started,"Setting new Return-To-Home altitude to 65m (213 ft). Data Recorder File Index is 68. Setting new Maximum Flight Altitude to 120m (394 ft)"
