time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
557700,2025-09-08 23:45:17,39.3932787599087,-76.9727271305225,0,Available with any HD 360 subscription,Available with any HD 360 subscription,591.92824564774,0.328084,0,0,0,22,5,15.392,591.92824564774,0,0,0,0,0,0,101.4, 5.1, 0,0,0,364,364,364,1684,-100,-100,-100,100,117.3,0,0,66,3.85,3.849,3.848,3.844,0,0,0.912,105.26,591.92824564774,0,6,P-GPS,"SD card speed low SD card speed low. Normal use may be affected. Replace SD card (Code: 10028). Aircraft not in flight. Vision systems and obstacle avoidance disabled (Code: 180059). Remote ID functionality normal (Code: 30331)"
557800,2025-09-08 23:45:17,39.3932787605641,-76.9727271361597,0,,,591.92824564774,0.328084,0,0.00160732288608,0.00160732288608,22,5,15.392,591.92824564774,0,0,0.00160732288608,0,0,0,101.4, 5.1, 0,0,0,364,364,364,1684,-100,-100,-100,100,117.3,0,0,66,3.85,3.849,3.848,3.844,0,0,0.912,105.26,591.92824564774,0,41,Motors_Started,
557900,2025-09-08 23:45:17,39.3932787632584,-76.9727271220807,0,,,591.92824564774,0.328084,0,0.00267568250032,0.0056969161928,22,5,15.392,591.92824564774,0,0,0.00267568250032,0,0,0,101.4, 5.1, 0,0,0,364,364,364,1684,-100,-100,-100,100,117.4,0,0,66,3.85,3.849,3.848,3.844,0,0,0.912,105.26,591.92824564774,0,41,Motors_Started,"Setting new Return-To-Home altitude to 65m (213 ft). Data Recorder File Index is 68. Setting new Maximum Flight Altitude to 120m (394 ft)"
558000,2025-09-08 23:45:17,39.3932787681931,-76.9727271259386,0,,,591.92824564774,0.328084,0,3.7290683608,0.0078004267588,22,5,15.392,591.92824564774,0,0,3.7290683608,0,0,0,101.4, 5.1, 0,0,0,364,364,364,1684,-100,-100,-100,100,117.4,0,0,66,3.85,3.849,3.848,3.844,0,0,0.912,105.26,591.92824564774,0,41,Motors_Started,
558100,2025-09-08 23:45:17,39.3932787556936,-76.9727271259496,0,,,591.92824564774,0.328084,0,3.7325788596,0.0123608599756,22,5,15.392,591.92824564774,0,0,3.7325788596,0,0,0,101.4, 5.1, 0,0,0,1024,1024,1024,1024,0,0,0,0,117.5,0,0,66,3.85,3.849,3.848,3.844,0,0,0.912,105.26,591.92824564774,0,41,Motors_Started,
558200,2025-09-08 23:45:17,39.3932787542629,-76.9727271305503,0,,,591.92824564774,0.328084,0,3.7337927704,0.0137591539836,22,5,15.392,591.92824564774,0,0,3.7337927704,0,0,0,101.4, 5.1, 0,0,0,1024,1024,1024,1024,0,0,0,0,117.6,0,0,66,3.85,3.849,3.848,3.844,0,0,0.912,105.26,591.92824564774,0,41,Motors_Started,
558300,2025-09-08 23:45:18,39.3932787572657,-76.9727271378281,0,,,591.92824564774,0.328084,0,3.7342848964,0.0160853351604,22,5,15.392,591.92824564774,0,0,3.7342848964,0,0,0,101.4, 5.1, 0,0,0,1024,1024,1024,1024,0,0,0,0,117.6,0,0,66,3.85,3.849,3.848,3.844,0,0,0.912,105.26,591.92824564774,0,41,Motors_Started,
558400,2025-09-08 23:45:18,39.3932787567302,-76.9727271387094,0,,,591.92824564774,0.328084,0,3.734580172,0.0164014440944,22,5,15.392,591.92824564774,0,0,3.734580172,0,0,0,101.4, 5.1, 0,0,0,1024,1024,1024,1024,0,0,0,0,117.6,0,0,66,3.85,3.849,3.848,3.844,0,0,0.912,105.26,591.92824564774,0,41,Motors_Started,
558500,2025-09-08 23:45:18,39.3932787703392,-76.9727271228955,0,,,591.92824564774,0.328084,0,3.7279200668,0.0230749023132,22,5,15.392,591.92824564774,0,0,3.734580172,0,0,0,101.4, 5.1, 0,0,0,1024,1024,1024,1024,0,0,0,0,117.6,0,0,66,3.85,3.849,3.848,3.844,0,0,0.912,105.26,591.92824564774,0,41,Motors_Started,
558600,2025-09-08 23:45:18,39.3932787848349,-76.9727271268698,0,,,591.92824564774,0.328084,0,3.72457361,0.0284810376568,22,5,15.392,591.92824564774,0,0,3.734580172,0,0,0,101.4, 5.1, 0,0,0,1024,1024,1024,1024,0,0,0,0,117.6,0,0,66,3.85,3.849,3.848,3.844,0,0,0.912,105.26,591.92824564774,0,41,Motors_Started,
558700,2025-09-08 23:45:18,39.3932787659485,-76.9727271448399,0,,,591.92824564774,0.328084,0,3.733103794,0.03703412192,22,5,15.312,591.92824564774,0,0,3.734580172,0,0,0,101.4, 5.1, 0,0,0,1024,1024,1024,1024,0,0,0,0,117.6,0,0,66,3.85,3.835,3.834,3.828,0,0,2.51,105.26,591.92824564774,0,41,Motors_Started,
558800,2025-09-08 23:45:18,39.3932787749912,-76.972727149252,0,,,591.92824564774,0.328084,0,3.7313649488,0.040560040668,22,5,15.312,591.92824564774,0,0,3.734580172,0,0,0,101.4, 5.1, 0,0,0,1024,1024,1024,1024,0,0,0,0,117.6,0,0,66,3.85,3.835,3.834,3.828,0,0,2.51,105.26,591.92824564774,0,41,Motors_Started,
