time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2025-09-09 00:33:48,39.393252770594,-76.9726705007718,0,Available with any HD 360 subscription,Available with any HD 360 subscription,592.18075648259,0,0,0,0,21,2,0,592.18075648259,0,0,0,0,0,0,110.6, 4.9, 0,0,0,364,364,364,1684,-100,-100,-100,100,66,-45.4,0,72,3.912,3.909,3.907,3.903,0,0,0,83.48,592.18075648259,0,6,P-GPS,"Setting new Return-To-Home altitude to 65m (213 ft). Data Recorder File Index is 70. Setting new Maximum Flight Altitude to 120m (394 ft). SD card speed low SD card speed low. Normal use may be affected. Replace SD card (Code: 10028). Aircraft not in flight. Vision systems and obstacle avoidance disabled (Code: 180059). Satellite positioning signal weak. Hovering unstable. Fly with caution (Code: 30002)."
100,2025-09-09 00:33:48,39.3932521574944,-76.9726703782071,0,,,592.18075648259,0,0,0.226342855012,0.226342855012,21,2,0,592.18075648259,0,0,0.226342855012,0,0,0,110.6, 4.9, 0,0,0,364,364,364,1684,-100,-100,-100,100,66,-45.4,0,72,3.912,3.909,3.907,3.903,0,0,0,83.48,592.18075648259,0,41,Motors_Started,
200,2025-09-09 00:33:48,39.3932521767668,-76.972670374837,0,,,592.18075648259,0,0,0.219547907288,0.23343832768,21,2,0,592.18075648259,0,0,0.226342855012,0,0,0,110.6, 4.9, 0,0,0,364,364,364,1684,-100,-100,-100,100,66,-45.4,0,72,3.912,3.909,3.907,3.903,0,0,0,83.48,592.18075648259,0,41,Motors_Started,
300,2025-09-09 00:33:48,39.3932518464042,-76.9726703590619,0,,,592.18075648259,0.328084,0,0.3395505358,0.3540518486,21,5,0,592.18075648259,0,0,0.3395505358,0,0,0,110.6, 4.9, 0,0,0,364,364,364,1684,-100,-100,-100,100,66,-45.4,0,72,3.912,3.909,3.907,3.903,0,0,0,83.48,592.18075648259,0,41,Motors_Started,"SD card speed low. Normal use may be affected. Replace SD card (Code: 10028). Aircraft not in flight. Vision systems and obstacle avoidance disabled (Code: 180059). Remote ID functionality normal (Code: 30331)"
400,2025-09-09 00:33:48,39.3932518431144,-76.9726703391074,0,,,592.18075648259,0.328084,0,0.34144686132,0.35980644196,21,5,0,592.18075648259,0,0,0.34144686132,0,0,0,110.6, 4.9, 0,0,0,415,490,364,1684,-92,-81,-100,100,66.1,-45.4,0,72,3.912,3.909,3.907,3.903,0,0,0,83.48,592.18075648259,0,41,Motors_Started,
500,2025-09-09 00:33:48,39.3932513296958,-76.9726702509309,0,,,592.18075648259,0.328084,0,0.53041012196,0.5487697026,21,5,0,592.18075648259,0,0,0.53041012196,0,0,0,110.6, 4.9, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,66,-45.4,0,72,3.912,3.909,3.907,3.903,0,0,0,83.48,592.18075648259,0,41,Motors_Started,
600,2025-09-09 00:33:48,39.3932513265377,-76.9726702532146,0,,,592.18075648259,0.328084,0,0.53146655244,0.55008860028,21,5,0,592.18075648259,0,0,0.53146655244,0,0,0,110.6, 4.9, 0,0,0,1024,1024,1024,1024,0,0,0,0,65.8,-45.4,0,72,3.912,3.909,3.907,3.903,0,0,0,83.48,592.18075648259,0,41,Motors_Started,
700,2025-09-09 00:33:49,39.3932511281213,-76.9726702760402,0,,,592.18075648259,0.328084,0,0.60259516364,0.62276576796,21,5,0,592.18075648259,0,0,0.60259516364,0,0,0,110.4, 4.9, 0,0,0,1024,1024,1024,1024,0,0,0,0,65.6,-45.4,0,72,3.912,3.909,3.907,3.903,0,0,0,83.48,592.18075648259,0,41,Motors_Started,
800,2025-09-09 00:33:49,39.3932511040635,-76.9726702787008,0,,,592.18075648259,0.328084,0,0.61124673872,0.63157482336,21,5,0,592.18075648259,0,0,0.61124673872,0,0,0,110.3, 4.9, 0,0,0,1024,1024,1024,1024,0,0,0,0,65.3,-45.4,0,72,3.912,3.909,3.907,3.903,0,0,0,83.48,592.18075648259,0,41,Motors_Started,
900,2025-09-09 00:33:49,39.3932508596883,-76.9726703055728,0,,,592.18075648259,0.328084,0,0.6993602586,0.72105645352,21,5,0,592.18075648259,0,0,0.6993602586,0,0,0,110.4, 4.9, 0,0,0,1024,1024,1024,1024,0,0,0,0,64.9,-45.4,0,72,3.912,3.909,3.907,3.903,0,0,0,83.48,592.18075648259,0,41,Motors_Started,
1000,2025-09-09 00:33:49,39.3932508681591,-76.9726703157496,0,,,592.18075648259,0.328084,0,0.69605973356,0.72527561376,21,5,0,592.18075648259,0,0,0.6993602586,0,0,0,110.3, 4.9, 0,0,0,1024,1024,1024,1024,0,0,0,0,64.7,-45.4,0,72,3.912,3.909,3.907,3.903,0,0,0,83.48,592.18075648259,0,41,Motors_Started,
1100,2025-09-09 00:33:49,39.3932507337076,-76.972670173042,0,,,592.18075648259,0.328084,0,0.74888125756,0.78872049768,21,5,0,592.18075648259,0,0,0.74888125756,0,0,0,110.3, 4.9, 0,0,0,1024,1024,1024,1024,0,0,0,0,64.6,-45.4,0,72,3.912,3.909,3.907,3.903,0,0,0,83.48,592.18075648259,0,41,Motors_Started,
1200,2025-09-09 00:33:49,39.3932507650742,-76.9726701568235,0,,,592.18075648259,0.328084,0,0.73811025984,0.80104333272,21,5,0,592.18075648259,0,0,0.74888125756,0,0,0,110.4, 4.9, 0,0,0,1024,1024,1037,1024,0,0,2,0,64.5,-45.4,0,72,3.912,3.909,3.907,3.903,0,0,0,83.48,592.18075648259,0,41,Motors_Started,
1300,2025-09-09 00:33:49,39.3932506475022,-76.9726703613234,0,,,592.18075648259,0.328084,0,0.7756069802,0.87291013292,21,5,15.717,592.18075648259,0,0,0.7756069802,0,0,0,110.4, 4.9, 0,0,0,1024,1024,1051,1024,0,0,4,0,64.5,-45.4,0,72,3.912,3.909,3.907,3.903,0,0,0.837,83.48,592.18075648259,0,41,Motors_Started,
1400,2025-09-09 00:33:49,39.3932506242005,-76.9726703964765,0,,,592.18075648259,0.328084,0,0.7836614424,0.88597115696,21,5,15.717,592.18075648259,0,0,0.7836614424,0,0,0,110.4, 4.9, 0,0,0,1024,1024,1079,1024,0,0,8,0,64.4,-45.4,0,72,3.912,3.909,3.907,3.903,0,0,0.837,83.48,592.18075648259,0,41,Motors_Started,
1500,2025-09-09 00:33:49,39.3932505214893,-76.9726705866978,0,,,592.18075648259,0.328084,0,0.82094162732,0.95139766824,21,5,15.717,592.18075648259,0,0,0.82094162732,0,0,0,110.4, 4.9, 0,0,0,1024,1024,1079,1024,0,0,8,0,64.4,-45.4,0,72,3.912,3.909,3.907,3.903,0,0,0.837,83.48,592.18075648259,0,41,Motors_Started,
1600,2025-09-09 00:33:50,39.3932504761174,-76.9726705958547,0,,,592.18075648259,0.328084,0,0.83756892444,0.96815291812,21,5,15.717,592.18075648259,0,0,0.83756892444,0,0,0,110.4, 4.9, 0,0,0,1024,1024,1078,1024,0,0,8,0,64.4,-45.4,0,72,3.912,3.909,3.907,3.903,0,0,0.837,83.48,592.18075648259,0,41,Motors_Started,"SD card speed low. Normal use may be affected. Replace SD card (Code: 10028). Remote ID functionality normal (Code: 30331)"
1700,2025-09-09 00:33:50,39.3932504110399,-76.9726708991624,0,,,592.18075648259,0.328084,0,0.86817916164,1.05690948264,21,5,15.717,592.18075648259,0,0,0.86817916164,0,0,0,110.4, 4.9, 0,0,0,1024,1024,1082,1024,0,0,9,0,64.4,-45.4,0,72,3.912,3.909,3.907,3.903,0,0,0.837,83.48,592.18075648259,0,10,Assisted_Takeoff,
1800,2025-09-09 00:33:50,39.3932503877157,-76.9726709160905,0,,,592.18075648259,0.328084,0,0.87724412256,1.0666667008,21,5,15.717,592.18075648259,0,0,0.87724412256,0,0,0,110.4, 4.9, 0,0,0,1024,1024,1111,1024,0,0,13,0,64.3,-45.4,0,72,3.912,3.909,3.907,3.903,0,0,0.837,83.48,592.18075648259,0,10,Assisted_Takeoff,
